timestamp (utc),transfer_id,txid,asset_id,template,rarity,mint,count_common,count_rare,count_secret,count_unique
32:03.5,18469446991,83d0039d3cc04bb58219dbe830f500bfcc4049c87c281c0c3a8d6d9eafcfbf0e,1099564097028,278950,rare,42,100,60,7,1
32:04.5,18469448344,e199d4a0aa48314a907d1e17c29a69d7a78d7b54a20ce016201f4c088bbd830e,1099564097291,278949,common,164,101,60,7,1
32:04.5,18469448624,21e2484f94961b80291e25f59c0c4dce364a238428e009e441c067878febd985,1099564097228,278949,common,101,102,60,7,1
7/09/2021 7:32,18469451329,5235adec4db7adb1a7f15ef94e9dfba400cf303a0bcae8d5c3a218d1ab6214a8,1099564097725,278949,common,557,103,60,7,1
7/09/2021 7:32,18469451416,0112fb0ab5166b8e42c67b330c7c15eabbec2683428a34e7287fee27610cb919,1099564098121,278949,common,948,104,60,7,1
32:08.5,18469452629,87914cf64bd206464654d0a78c53b303a6c524d4609c100d2eec2b92c4cb5657,1099564097919,278949,common,748,105,60,7,1
7/09/2021 7:32,18469454457,654297bc4ae12792e7a44c6c878e37e1e7385090fadf68b238587193485c7e31,1099564097623,278949,common,492,106,60,7,1
7/09/2021 7:32,18469455337,20e625b40d175d9843b56ff33ee2d5d04eddbe5b7492805c42622d365a2a1387,1099564097403,278949,common,276,107,60,7,1
7/09/2021 7:32,18469456106,e4f994a0a848e21cfcf943f569cceca2dc59408ffea0098691feb0d623a9ce20,1099564097938,278949,common,767,108,60,7,1
32:13.5,18469457424,0cc32ad58f8b5124438b94472272642651cd3e7567e4d55cba231bfc4fe39ac1,1099564097240,278949,common,113,109,60,7,1
32:14.5,18469457919,564c9bcc7597788802cb32e2506c052ef1dcef6ad2f07c6b9d778f572d0f2b18,1099564097560,278949,common,429,110,60,7,1
7/09/2021 7:32,18469458937,ec5f8a666e04342c0e8a14dbf31fa714dee990c222f698b82850c50be0810de4,1099564097558,278949,common,427,111,60,7,1
32:17.5,18469461388,2b4f0dc4d9a36bc77dce28f9796ac5865909d2bd49f83fabf17df87d136f92af,1099564097024,278950,rare,38,111,61,7,1
7/09/2021 7:32,18469462461,bace91d535f9da69003a3210697581277e0b866b45a296c640a95d822cbb3849,1099564098035,278949,common,864,112,61,7,1
7/09/2021 7:32,18469463783,22f5ea0f4f9bc27d1c145da9f9d5bdfc197a4944957f91bb129ca7b859cd7529,1099564097828,278949,common,660,113,61,7,1
32:20.5,18469464026,55d1a937db19dbe833c3ee210b6d31609d498e8ac938aa419f0c6f33f052c23f,1099564097689,278949,common,521,114,61,7,1
32:22.5,18469465644,924e0b3819fe936597390776844e34c1e5d22c8ea7e15f3a7793337c9cc1e2e6,1099564097856,278949,common,688,115,61,7,1
32:22.5,18469465836,5b780886484a76da8f376770cc6616b7f0f80311c74a4036e168c1c76bd185d1,1099564097055,278950,rare,69,115,62,7,1
32:22.5,18469465874,1c2a131876044903326c1c78f910f5bd52ebad4fdfe5601a4118090ee867b590,1099564097974,278949,common,803,116,62,7,1
7/09/2021 7:32,18469466663,e4264438aab571c76cda9d636775780a67cf0bf8b08803592033726c224acba7,1099564097597,278949,common,466,117,62,7,1
7/09/2021 7:32,18469467438,1aadc911111d540365b509ff950c7327bccb566cf99e029420e04ea89438b6b7,1099564097970,278949,common,799,118,62,7,1
32:26.5,18469470150,187a22ce848798f49f00a3675e18561aa04e0b2e4486705d292f6ba7c4f8ea0c,1099564097063,278950,rare,77,118,63,7,1
7/09/2021 7:32,18469470670,8217d8ae9ba6fb6153ffa80e0be5d16baf72a92aff59de3e5bf7e35f21db7517,1099564097776,278949,common,608,119,63,7,1
32:27.5,18469471379,922bc67398dddfb62e8a7103a3a2c7f388c1f4bc4d489f84c371854ddd411910,1099564097579,278949,common,448,120,63,7,1
7/09/2021 7:32,18469471852,1292dc479d374bd806aeb755874fd44e8829de34312574d4ad2925484cea728c,1099564097488,278949,common,359,121,63,7,1
7/09/2021 7:32,18469474013,f870590f3b22e258f326875414060d41816c54ff2a6e8dd8bae1b1923e4bd00c,1099564098151,278949,common,978,122,63,7,1
32:32.5,18469476422,24468c0928279968d03b603b48375f530ef1dd35b633c0bd7de1d0fafed7875f,1099564097483,278949,common,354,123,63,7,1
32:33.5,18469477549,4c3ab19f052b7241c00f86be1046bf19ead0b09348091f16a516d3ee02dae3af,1099564097969,278949,common,798,124,63,7,1
7/09/2021 7:32,18469477967,893b3085267a8096122b476ab0b46f6e0602adfcc60a63131da878cd2cf080f0,1099564097939,278949,common,768,125,63,7,1
7/09/2021 7:32,18469478166,9eacba678f52df170ecb26d2fcfb796951c0368217afed3400243b33de91597b,1099564097728,278949,common,560,126,63,7,1
7/09/2021 7:32,18469482614,2cf582a0bfba5394679501d97bc7fa20c0571aaa7c8c8d545b2382320376fbd1,1099564097840,278949,common,672,127,63,7,1
32:41.5,18469487144,16fc8dc05fff3e2b0836220c5e33c13b05f4db32576371ad3f03b2b0851028f3,1099564097062,278950,rare,76,127,64,7,1
7/09/2021 7:32,18469487857,9b9291870d8944939ce60bf5c0df5691240b87dd22e55c11c85869fc8336e155,1099564098006,278949,common,835,128,64,7,1
32:42.5,18469488496,3e28a1e6270fc9fa7128df6b7ada00db56acc3f8ffce60acd668b1a8d51f856e,1099564097420,278949,common,293,129,64,7,1
32:43.5,18469489911,97671c07568651b07e9ae5a58c868587a116419a493df275a2307fea6b91d2ec,1099564097190,278949,common,66,130,64,7,1
32:45.5,18469493087,ad455eb75e3789d361db1e620703125219670f3190dbd6168bc9d428c68a374a,1099564097025,278950,rare,39,130,65,7,1
32:46.5,18469494251,43ce630c56c288f49f5887a1bf51f00b5ce79b643724d491c98cb83e2459ddad,1099564097400,278949,common,273,131,65,7,1
32:46.5,18469494875,921e154dbbf3096c61d642bd6d524ab30d8ecf500524344267a076fd1e7cc5bb,1099564098094,278949,common,921,132,65,7,1
7/09/2021 7:32,18469500596,972f8d12cce57a3f09daa21ae87ee9e4df370849aa40d6181dfe5432d571e333,1099564097053,278950,rare,67,132,66,7,1
7/09/2021 7:32,18469500652,0144a7c647563a21d6299f190a5771069a0d79c8fd201160549416e4936cdeda,1099564097073,278950,rare,87,132,67,7,1
7/09/2021 7:32,18469501887,61c4bcc0afeb0f93b40b29fbc5547b86ea9cb81f337bbc935ea706f88af9255d,1099564097071,278950,rare,85,132,68,7,1
7/09/2021 7:32,18469508561,9489557c0f2d7ff22c5249558d138bee1744f1af55e85e8a21cbc8e773bdbdd1,1099564096975,278952,secret rare,2,132,68,8,1
32:55.5,18469509783,4589465742393fc8ee4814a23c6d75388a13c2e20c8aac90a7057d979d7e3afc,1099564097961,278949,common,790,133,68,8,1
7/09/2021 7:32,18469509991,e28b89e8b6f82a8926444594efeb28f9f04824c90116607825de151687bea421,1099564097082,278950,rare,96,133,69,8,1
32:58.5,18469514554,6110fa5b45baac5ae01c92ce8f6516891343daf7dc4cb4a3bef94e93f58901bf,1099564097539,278949,common,408,134,69,8,1
32:59.5,18469516165,cf74fa443df7deaa810de82c50a241fef07b3857ca22e79516069b91133cb3c0,1099564097988,278949,common,817,135,69,8,1
33:00.5,18469518242,05a01567675524d5e918ffb7f3484823b0b21a0504bcbb0991c6d0ad44b06dc7,1099564097516,278949,common,387,136,69,8,1
33:01.5,18469520246,5faa7d48aac3863578d0d7a489f07d5041a82ba3bdc5b06d23d411a614f11e44,1099564097040,278950,rare,54,136,70,8,1
33:02.5,18469522192,3c4f6c7cbe60e583721743a556980c5223a1472a377e7f8bcda6e21a597fbbea,1099564097514,278949,common,385,137,70,8,1
33:04.5,18469525437,2c6aed779ed3ecc0b5520be117d585a0282dbd62f4eaf883dc2df481f40d89d8,1099564097143,278949,common,19,138,70,8,1
7/09/2021 7:33,18469526194,8e6cb7436dd88856d9670918c347817627cfac67f11b9da694ba1fc51a4244bd,1099564097922,278949,common,751,139,70,8,1
7/09/2021 7:33,18469527887,3db3b2aba931783199820a3cfa51e6c18293459ff96130849d65466dd22ee029,1099564097473,278949,common,344,140,70,8,1
7/09/2021 7:33,18469531470,cd17870eebeed9bf4059f5f3a891b06bde5b7f4a6b7eb20e1f00cc37e6c025ee,1099564098100,278949,common,927,141,70,8,1
33:09.5,18469534651,fddf636c444a48c913510232d0b41a347bda0ae8c80b66d9dc43f91dc8136222,1099564097038,278950,rare,52,141,71,8,1
7/09/2021 7:33,18469535760,0694a0719bd6ab141d6de4b5361c428867bd2f282065bb4298c885a70a50e935,1099564098125,278949,common,952,142,71,8,1
33:11.5,18469538368,41b7fb0a79427f08de3ac9773ef6c5810d02c69f189b42084178babb24902369,1099564097048,278950,rare,62,142,72,8,1
33:12.5,18469541246,9c6620c026bbd693c39c707efe42e135056447eeb6a20282737a618057315a10,1099564097441,278949,common,312,143,72,8,1
33:13.5,18469543270,fb54505ebe06e5bc6fdfad8ef005d9cf3b11a7cdb770563ca504a5b82e49e353,1099564097002,278950,rare,16,143,73,8,1
33:13.5,18469543671,6c36611a5133d5b19c468950e953ae2e8cc36e3bf96f6651bb5843eaaa18b671,1099564097023,278950,rare,37,143,74,8,1
7/09/2021 7:33,18469549088,644b6c9e0d00da4e92922ad3d8c952f3d18324cd4aa73491eb81b131ebe290aa,1099564096983,278952,secret rare,10,143,74,9,1
7/09/2021 7:33,18469553920,449f1de2906535babcd8e0eb1a918a2df7dc27fabcb0732e5da782900bc20cb7,1099564098030,278949,common,859,144,74,9,1
